statement,statement_clean,speaker,subject,party_affiliation,context,label,y,baseline_pred,final_linear_pred,xgb_pred
"Says At age 76 when you most need it, you are not eligible for cancer treatment under Affordable Care Act.",says at age 76 when you most need it you are not eligible for cancer treatment under affordable care act,chain-email,"health-care,medicare",none,a chain email,pants-fire,0,1,0,0
Four state Assembly Democrats scored a death blow to northeast Wisconsins economy by killing hundreds of jobs at a potential Bass Pro Shops near Green Bay.,four state assembly democrats scored a death blow to northeast wisconsins economy by killing hundreds of jobs at a potential bass pro shops near green bay,OTHER,OTHER,republican,a news release,pants-fire,0,1,0,0
Says If you compare the Portland Metro area to the CDCs statewide cavity rates ... the Portland Metro area would actually rank as having the 15th lowest cavity rate in the U.S.,says if you compare the portland metro area to the cdcs statewide cavity rates the portland metro area would actually rank as having the 15th lowest cavity rate in the u s,OTHER,OTHER,organization,a campaign flier,false,0,1,0,0
On federal stimulus money for expanding rail service.,on federal stimulus money for expanding rail service,scott-walker,OTHER,republican,OTHER,true,1,0,1,1
"If you and I fail to defund ObamaCare now, some 16,000 new IRS agents will be begin prying into our private medical records, eyeing each and every one of our treatments and prescriptions for violations.",if you and i fail to defund obamacare now some 16 000 new irs agents will be begin prying into our private medical records eyeing each and every one of our treatments and prescriptions for violations,OTHER,OTHER,organization,OTHER,pants-fire,0,1,0,0
Mitch McConnell voted with Harry Reid to infringe on our gun rights.,mitch mcconnell voted with harry reid to infringe on our gun rights,OTHER,OTHER,republican,a television ad,pants-fire,0,1,0,0
"The EPA wants to hire 230,000 new government regulators that will cost the taxpayer $21 billion.",the epa wants to hire 230 000 new government regulators that will cost the taxpayer 21 billion,allen-west,OTHER,republican,a TV interview,false,0,1,0,0
"If the Trans-Pacific Partnership is fast-tracked through the Senate, it wont receive a committee assignment and the consideration will include no debate.",if the trans pacific partnership is fast tracked through the senate it wont receive a committee assignment and the consideration will include no debate,chain-email,OTHER,none,a chain email,false,0,1,0,0
The Cleveland police has issued a stand down order to officers.,the cleveland police has issued a stand down order to officers,OTHER,public-safety,none,OTHER,pants-fire,0,1,0,0
"All four on Mount Rushmore, they were all independents at one critical point in their career.",all four on mount rushmore they were all independents at one critical point in their career,OTHER,"elections,history",independent,OTHER,false,0,1,0,1
We didnt go out asking people to join the stand your ground task force.,we didnt go out asking people to join the stand your ground task force,OTHER,OTHER,republican,OTHER,false,0,1,0,0
Giant companies like Toyota will not locate in a state that has not passed a right-to-work law,giant companies like toyota will not locate in a state that has not passed a right to work law,OTHER,OTHER,republican,a radio interview,false,0,1,0,0
Wisconsins lawsuit rules are so anti-business that the states system is one of the most promiscuous in America.,wisconsins lawsuit rules are so anti business that the states system is one of the most promiscuous in america,OTHER,OTHER,none,a news release,false,0,1,0,0
Bryce Reeves chaired a group bankrolled by a New York billionaire who fired hundreds of Virginia workers and sent their jobs to China.,bryce reeves chaired a group bankrolled by a new york billionaire who fired hundreds of virginia workers and sent their jobs to china,OTHER,OTHER,democrat,a TV ad.,false,0,1,0,0
"In 2011, Alabama and Massachusetts passed legislation allowing non-citizens who are legal residents to vote in state and local elections.",in 2011 alabama and massachusetts passed legislation allowing non citizens who are legal residents to vote in state and local elections,OTHER,OTHER,democrat,OTHER,false,0,1,0,0
A bill by Earl Blumenauer would mandate GPS tracking devices on all our vehicles.,a bill by earl blumenauer would mandate gps tracking devices on all our vehicles,OTHER,OTHER,republican,OTHER,pants-fire,0,1,0,0
A picture shows former President Bill Clinton naked with another woman.,a picture shows former president bill clinton naked with another woman,OTHER,OTHER,none,OTHER,pants-fire,0,1,0,0
"Says it probably costs more than $300,000 to run for a seat on the Pedernales Electric Cooperative board of directors.",says it probably costs more than 300 000 to run for a seat on the pedernales electric cooperative board of directors,OTHER,OTHER,republican,OTHER,pants-fire,0,1,0,0
Wind power is the most undependable form of renewable energy.,wind power is the most undependable form of renewable energy,OTHER,OTHER,democrat,OTHER,false,0,1,0,0
"On the new dollar coins, ""'In God We Trust' is gone!""",on the new dollar coins 'in god we trust' is gone,chain-email,patriotism,none,OTHER,false,0,1,0,0
Gov. McDonnells proposed budget is cutting public education.,gov mcdonnells proposed budget is cutting public education,OTHER,OTHER,democrat,a speech.,false,0,1,0,0
A [bank] surveillance camera capturing a criminals face and other identifiable traits would certainly discourage robbery attempts and serve as a deterrent to robbers.,a bank surveillance camera capturing a criminals face and other identifiable traits would certainly discourage robbery attempts and serve as a deterrent to robbers,OTHER,"crime,criminal-justice",democrat,a news release,false,0,1,0,0
Im not a conspiracy theorist and I never allow conspiracy theorists on my program.,im not a conspiracy theorist and i never allow conspiracy theorists on my program,OTHER,OTHER,journalist,OTHER,pants-fire,0,1,0,0
Says Christopher Little has a history of working against environmental protection by defending the worst types of corporate polluters,says christopher little has a history of working against environmental protection by defending the worst types of corporate polluters,OTHER,OTHER,democrat,OTHER,false,0,1,0,0
Heroin .. pours across our southern borders.,heroin pours across our southern borders,donald-trump,drugs,republican,OTHER,true,1,0,1,0
"Says Ohio Rep. Marcy Kaptur actually lives in a fancy condo in the Washington, D.C. suburbs.",says ohio rep marcy kaptur actually lives in a fancy condo in the washington d c suburbs,OTHER,OTHER,none,a campaign commercial,false,0,1,0,0
Says there is an upcoming vote to preserve benefits of Texas homestead exemption for seniors and the disabled.,says there is an upcoming vote to preserve benefits of texas homestead exemption for seniors and the disabled,chain-email,OTHER,none,OTHER,pants-fire,0,1,0,0
On redistricting.,on redistricting,OTHER,redistricting,democrat,an interview.,false,0,1,0,0
Says Larry Taylor gave in-state tuition to illegal immigrants.,says larry taylor gave in state tuition to illegal immigrants,OTHER,"education,immigration",none,OTHER,pants-fire,0,1,0,0
"After the attack on a U.S. diplomatic mission in Benghazi,Libya,the ambassadors body was dragged through the street.",after the attack on a u s diplomatic mission in benghazi libya the ambassadors body was dragged through the street,OTHER,"foreign-policy,terrorism",none,OTHER,false,0,1,0,0
Creflo Dollar needed a $65 million Gulfstream G650 to carry thousands of pounds of food and other supplies -- as well as the Word of God -- worldwide.,creflo dollar needed a 65 million gulfstream g650 to carry thousands of pounds of food and other supplies as well as the word of god worldwide,OTHER,OTHER,none,OTHER,pants-fire,0,1,0,0
Youve been tremendously deceived by people who say the Earth is not flat.,youve been tremendously deceived by people who say the earth is not flat,OTHER,OTHER,none,OTHER,pants-fire,0,1,0,0
"In early voting in Miami-Dade County, there is a trickle of two or three people a day at a very high cost to keep those public libraries and polls open.",in early voting in miami dade county there is a trickle of two or three people a day at a very high cost to keep those public libraries and polls open,OTHER,OTHER,republican,OTHER,false,0,1,0,0
Jules Bailey was instrumental in creating the Business Energy Tax Credit that let companies like Wal-Mart profit by $11 million while costing the Oregon general fund $33 million.,jules bailey was instrumental in creating the business energy tax credit that let companies like wal mart profit by 11 million while costing the oregon general fund 33 million,OTHER,OTHER,none,OTHER,pants-fire,0,1,0,0
Says Barack Obamas comments indicate he believes in redistribution of wealth.,says barack obamas comments indicate he believes in redistribution of wealth,mitt-romney,OTHER,republican,a speech,mostly-true,1,0,1,1
Says the word Dhimmitude is on page 107 of the health care law and means Muslims are specifically exempted from the government mandate to purchase insurance.,says the word dhimmitude is on page 107 of the health care law and means muslims are specifically exempted from the government mandate to purchase insurance,chain-email,OTHER,none,a chain email,pants-fire,0,1,0,0
"A proposed regional transportation tax will last a minimum of 10 years, and has been approved to last longer.",a proposed regional transportation tax will last a minimum of 10 years and has been approved to last longer,OTHER,transportation,none,UNKNOWN,false,0,1,0,0
"Its not true that since hes been the president, executions in Iran have increased by four times.",its not true that since hes been the president executions in iran have increased by four times,OTHER,OTHER,none,"ABC's ""This Week""",false,0,1,0,0
"In Cobb County, every meeting opened with a prayer. The ACLU objected. Sued ... [Sam] Olens took on the ACLU and won!",in cobb county every meeting opened with a prayer the aclu objected sued sam olens took on the aclu and won,OTHER,OTHER,republican,a campaign ad,half-true,1,0,1,1
"This town (Wilmington, Ohio) hasnt taken any money from the government. They dont want any money from the government.",this town wilmington ohio hasnt taken any money from the government they dont want any money from the government,glenn-beck,OTHER,none,OTHER,pants-fire,0,1,0,1
On Common Core.,on common core,OTHER,education,republican,OTHER,false,0,1,0,1
Says U.S. House candidate Carlos Curbelo opposes the repeal of Obamacare.,says u s house candidate carlos curbelo opposes the repeal of obamacare,OTHER,health-care,republican,a radio ad,barely-true,1,0,1,1
Says the fluoride Austin is putting in its drinking water is toxic waste.,says the fluoride austin is putting in its drinking water is toxic waste,OTHER,OTHER,none,OTHER,false,0,1,0,0
We know how to stop AIDS: persuade men not to have sex with men.,we know how to stop aids persuade men not to have sex with men,OTHER,OTHER,none,OTHER,pants-fire,0,1,0,0
And weve constantly been the lowest unemployed county in the state.,and weve constantly been the lowest unemployed county in the state,OTHER,job-accomplishments,none,OTHER,false,0,1,0,0
"Once a woman enters into the sex trade, her average life expectancy is seven years.",once a woman enters into the sex trade her average life expectancy is seven years,OTHER,OTHER,none,OTHER,false,0,1,0,0
"Says McCain was a ""Hanoi Hilton songbird"" who collaborated with the enemy.",says mccain was a hanoi hilton songbird who collaborated with the enemy,OTHER,candidates-biography,none,OTHER,pants-fire,0,1,0,0
Wendy Davis legal work is currently under FBI investigation.,wendy davis legal work is currently under fbi investigation,greg-abbott,OTHER,republican,OTHER,barely-true,1,0,1,1
Says Gov. Chris Christies poll ratings have been going up.,says gov chris christies poll ratings have been going up,OTHER,polls,talk-show-host,OTHER,false,0,1,0,0
On debating.,on debating,rick-perry,elections,republican,a press release,false,0,1,0,1
A $250 fine if youre caught with a plastic bag coming out of a store. Plastic bag police anyone?,a 250 fine if youre caught with a plastic bag coming out of a store plastic bag police anyone,OTHER,environment,none,a tweet,false,0,1,0,0
Abortions account for 94 percent of the services provided for pregnant women by Planned Parenthood.,abortions account for 94 percent of the services provided for pregnant women by planned parenthood,OTHER,OTHER,none,OTHER,false,0,1,0,0
"Says Donald Trumps conversion to pro-life beliefs are akin to Justin Biebers, who said in the past that abortion was no big deal to him.",says donald trumps conversion to pro life beliefs are akin to justin biebers who said in the past that abortion was no big deal to him,sarah-palin,abortion,republican,an interview on CNN,false,0,1,0,0
Says HJM 20 was the only bill not assigned to a House committee.,says hjm 20 was the only bill not assigned to a house committee,OTHER,OTHER,organization,a blog post.,false,0,1,0,0
The music industry is the biggest export from Africa after oil and gas.,the music industry is the biggest export from africa after oil and gas,OTHER,OTHER,none,"comments on ABC's ""This Week""",false,0,1,0,0
"Even with recent changes, the average hourly wage at General Motors is still $75 an hour.",even with recent changes the average hourly wage at general motors is still 75 an hour,OTHER,transportation,republican,UNKNOWN,false,0,1,0,0
U.S. House opponent Paul Ryan supports cutting funding for veterans by 24 percent.,u s house opponent paul ryan supports cutting funding for veterans by 24 percent,OTHER,OTHER,democrat,an interview,false,0,1,0,0
There's no evidence anywhere that offshore drilling has hurt tourism in any area where it has been allowed.,there's no evidence anywhere that offshore drilling has hurt tourism in any area where it has been allowed,OTHER,"energy,environment",none,a press release,false,0,1,0,0
Theres more murders with hammers last year than...shotguns and pistols and AK-47s.,theres more murders with hammers last year than shotguns and pistols and ak 47s,OTHER,guns,republican,OTHER,pants-fire,0,1,0,0
Her campaign and her supporters in her campaign were the ones that borne out the birther movement.,her campaign and her supporters in her campaign were the ones that borne out the birther movement,reince-priebus,OTHER,republican,OTHER,half-true,1,0,1,1
"Says Ted Cruz was just bribed by the Kochs to introduce a bill that would give them and their allies Americas national forests, parks, and other public lands and open them for mining, drilling, fracking and logging.",says ted cruz was just bribed by the kochs to introduce a bill that would give them and their allies americas national forests parks and other public lands and open them for mining drilling fracking and logging,occupy-democrats,OTHER,organization,OTHER,pants-fire,0,1,0,0
Says Bruce Starr broke the law by letting lobbyists wine and dine him in Maui.,says bruce starr broke the law by letting lobbyists wine and dine him in maui,OTHER,"ethics,message-machine",democrat,a television ad,false,0,1,0,0
Says Patrick Murphy never worked as a CPA and was never a small business owner.,says patrick murphy never worked as a cpa and was never a small business owner,national-republican-senatorial-committee,candidates-biography,republican,a TV ad,barely-true,1,0,1,1
Says Newt Gingrich co-sponsored a bill with Nancy Pelosi that would have given $60 million a year to a U.N. program supporting Chinas brutal one-child policy.,says newt gingrich co sponsored a bill with nancy pelosi that would have given 60 million a year to a u n program supporting chinas brutal one child policy,OTHER,OTHER,republican,a television ad,pants-fire,0,1,0,0
Says Kay Hagan supports waivers for friends of Obama and special treatment for Congress and their staffs.,says kay hagan supports waivers for friends of obama and special treatment for congress and their staffs,americans-prosperity,health-care,none,OTHER,false,0,1,0,0
Sherrod Brown supported President Obamas $453 billion tax increase.,sherrod brown supported president obamas 453 billion tax increase,OTHER,OTHER,republican,a television ad,barely-true,1,0,1,1
"In this judicial race, special interest groups have demanded money from me, in exchange for endorsement and support.",in this judicial race special interest groups have demanded money from me in exchange for endorsement and support,OTHER,OTHER,democrat,OTHER,false,0,1,0,0
"Says Kurt Schrader voted to cut $500 billion from Medicare, threatening thousands of Oregon seniors and their access to their current coverage.",says kurt schrader voted to cut 500 billion from medicare threatening thousands of oregon seniors and their access to their current coverage,OTHER,OTHER,republican,a television ad,barely-true,1,0,1,1
Says the case of a Texas judge who refused to perform heterosexual weddings exposes a double standard in the case against Kentucky clerk Kim Davis.,says the case of a texas judge who refused to perform heterosexual weddings exposes a double standard in the case against kentucky clerk kim davis,viral-image,OTHER,none,a Facebook post,false,0,1,0,0
Says Sean Duffy was a no-show as Ashland County District Attorney while he was on the campaign trail,says sean duffy was a no show as ashland county district attorney while he was on the campaign trail,OTHER,"job-accomplishments,message-machine",democrat,OTHER,barely-true,1,0,1,1
Beaverton enjoys the most diverse population (by percentage of population) among Oregon cities.,beaverton enjoys the most diverse population by percentage of population among oregon cities,OTHER,OTHER,none,a press release,false,0,1,0,0
Evidence shows Zika virus turns fetus brains to liquid.,evidence shows zika virus turns fetus brains to liquid,blog-posting,OTHER,none,OTHER,pants-fire,0,1,0,0
"The State Department says the 42,000 jobs created by the Keystone XL pipeline are ongoing, enduring jobs.",the state department says the 42 000 jobs created by the keystone xl pipeline are ongoing enduring jobs,OTHER,OTHER,none,"comments on ABC's ""This Week""",false,0,1,0,0
Wisconsins new state budget includes a 15 percent increase for road construction and yet weve got local towns tearing up paved roads and replacing them with gravel.,wisconsins new state budget includes a 15 percent increase for road construction and yet weve got local towns tearing up paved roads and replacing them with gravel,OTHER,OTHER,none,a speech,false,0,1,0,0
The Obama administration is refusing to directly arm the Kurds.,the obama administration is refusing to directly arm the kurds,ted-cruz,OTHER,republican,"comments on CNN's ""State of the Union""",mostly-true,1,0,1,0
Boston Marathon bombing suspect Tamerlan Tsarnaev is buried not far from President Kennedys grave.,boston marathon bombing suspect tamerlan tsarnaev is buried not far from president kennedys grave,OTHER,OTHER,talk-show-host,OTHER,pants-fire,0,1,0,0
"Politician Reid Ribble wants to phase out Social Security, forcing Wisconsin seniors to fend for themselves.",politician reid ribble wants to phase out social security forcing wisconsin seniors to fend for themselves,OTHER,OTHER,democrat,OTHER,pants-fire,0,1,0,0
Says Houstons 18th congressional district has been gentrified and is home to more Anglos than African Americans.,says houstons 18th congressional district has been gentrified and is home to more anglos than african americans,OTHER,OTHER,republican,a speech,false,0,1,0,0
Obama Declares November National Muslim Appreciation Month.,obama declares november national muslim appreciation month,blog-posting,OTHER,none,OTHER,pants-fire,0,1,0,0
"Wisconsin election officials to accept Mickey Mouse, Hitler signatures on recall petitions.",wisconsin election officials to accept mickey mouse hitler signatures on recall petitions,OTHER,OTHER,independent,a video,barely-true,1,0,1,1
Says Supreme Court candidate JoAnne Kloppenburgs record as a state Justice Department lawyer consists only of the prosecution of cases regarding regulation of docks.,says supreme court candidate joanne kloppenburgs record as a state justice department lawyer consists only of the prosecution of cases regarding regulation of docks,OTHER,OTHER,none,OTHER,pants-fire,0,1,0,0
The Obama administration supported Muslim allies trying to establish a new international blasphemy standard.,the obama administration supported muslim allies trying to establish a new international blasphemy standard,OTHER,OTHER,none,OTHER,barely-true,1,0,1,1
Milwaukee lost the headquarters for MillerCoors because the area lacks good transit.,milwaukee lost the headquarters for millercoors because the area lacks good transit,OTHER,OTHER,none,a newspaper interview,false,0,1,0,0
"Says President Obama said of the national debt, If I dont have this done in three years, then theres going to be a one-term proposition.",says president obama said of the national debt if i dont have this done in three years then theres going to be a one term proposition,americans-prosperity,OTHER,none,OTHER,false,0,1,0,1
"State House incumbent Jill Chambers, R-Atlanta, personally profits from taxpayer money.",state house incumbent jill chambers r atlanta personally profits from taxpayer money,OTHER,ethics,democrat,a campaign mailer,false,0,1,0,0
Says the Feingold garage ad is a fake: Hes not standing in front of his house.,says the feingold garage ad is a fake hes not standing in front of his house,OTHER,"job-accomplishments,message-machine",talk-show-host,OTHER,pants-fire,0,1,0,0
Say71 percent of doctors say Hillarys health concerns are serious and could be disqualifying.,say71 percent of doctors say hillarys health concerns are serious and could be disqualifying,blog-posting,OTHER,none,OTHER,false,0,1,0,0
"Says Milwaukee County Executive Chris Abele spent $100,000 of taxpayer money on a new luxury SUV.",says milwaukee county executive chris abele spent 100 000 of taxpayer money on a new luxury suv,OTHER,OTHER,none,OTHER,false,0,1,0,0
The media never show crowds.,the media never show crowds,donald-trump,elections,republican,OTHER,false,0,1,0,0
Says children are coming into the U.S. in staggering numbers because President Barack Obama has been promising amnesty.,says children are coming into the u s in staggering numbers because president barack obama has been promising amnesty,ted-cruz,immigration,republican,OTHER,false,0,1,0,1
Scott Walker had a 2.3 GPA when he was asked to leave Marquette University for cheating.,scott walker had a 2 3 gpa when he was asked to leave marquette university for cheating,facebook-posts,OTHER,none,OTHER,false,0,1,0,0
"Nearly 70 percent of all federal spending will go towards Social Security, Medicare, and Medicaid in fiscal year 2014.",nearly 70 percent of all federal spending will go towards social security medicare and medicaid in fiscal year 2014,OTHER,OTHER,republican,OTHER,false,0,1,0,0
Says Measure 3-386 will cost a fortune for elections while Measure 3-388 will cost less.,says measure 3 386 will cost a fortune for elections while measure 3 388 will cost less,OTHER,OTHER,OTHER,OTHER,false,0,1,0,0
"Says Crist campaign website ""has eliminated all references to our Republican Party.""",says crist campaign website has eliminated all references to our republican party,OTHER,candidates-biography,republican,OTHER,false,0,1,0,0
"More than 1,000 American soldiers have lost their lives in Afghanistan in the last 27 months. This is more than the combined total of the nine years before.",more than 1 000 american soldiers have lost their lives in afghanistan in the last 27 months this is more than the combined total of the nine years before,chain-email,OTHER,none,a chain email,false,0,1,0,0
"Harambe received 15,000 votes in the presidential election.",harambe received 15 000 votes in the presidential election,blog-posting,OTHER,none,OTHER,pants-fire,0,1,0,0
We had an amendment in the health care law that said the federal government is going to take over education.,we had an amendment in the health care law that said the federal government is going to take over education,allen-west,OTHER,republican,OTHER,false,0,1,0,0
Eighty percent of Wall Street executives and their spouses donations go to Democrats.,eighty percent of wall street executives and their spouses donations go to democrats,OTHER,OTHER,republican,OTHER,false,0,1,0,0
Says broken compact fluorescent light bulbs allegedly cause migraines and epilepsy attacks.,says broken compact fluorescent light bulbs allegedly cause migraines and epilepsy attacks,OTHER,OTHER,republican,OTHER,false,0,1,0,0
"When it comes to jobless workers, Mitt Romney says he likes to fire people.",when it comes to jobless workers mitt romney says he likes to fire people,OTHER,OTHER,democrat,OTHER,false,0,1,0,0
"Barack Obama ""rejects everyone white, including his mother and his grandparents.""",barack obama rejects everyone white including his mother and his grandparents,OTHER,candidates-biography,OTHER,OTHER,pants-fire,0,1,0,0
Sen. Bob Menendez voted to enact a new tax on the sale of homes of 3.8%.,sen bob menendez voted to enact a new tax on the sale of homes of 3 8,OTHER,OTHER,none,OTHER,pants-fire,0,1,0,0
